Age,Gender,Education Level,Marital Status,Tenure,Job Role,Department,Salary,Work Location,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Work-Life Balance,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Churn
44,female,bachelor's,married,11,developer,it,136124,on-site,3,9,78,0,27,0.29,average,279,6,6,4.4,0
42,male,high school,single,5,developer,it,146625,remote,2,14,71,0,7,0.98,poor,281,7,40,1.1,0
37,female,bachelor's,married,9,sales,hr,116913,on-site,2,6,24,1,22,0.9,average,227,13,6,6.3,0
39,male,master's,married,11,analyst,sales,36146,remote,1,41,42,0,27,0.1,average,260,13,23,1.5,0
45,male,bachelor's,married,1,developer,sales,112821,remote,5,21,47,0,39,0.26,good,226,18,12,2.7,1
47,female,master's,divorced,11,analyst,it,70859,on-site,3,21,60,0,21,0.63,average,224,4,16,7.9,0
46,male,high school,single,11,developer,sales,96892,remote,2,38,18,0,17,0.25,average,150,18,33,3.5,0
50,male,bachelor's,married,4,manager,hr,64131,on-site,4,20,34,0,9,0.39,average,234,2,20,4.9,0
36,female,bachelor's,single,3,developer,hr,121006,on-site,4,20,20,0,35,0.25,average,246,5,40,2.0,0
22,male,bachelor's,single,10,sales,hr,125035,remote,2,25,17,0,6,0.3,average,232,17,33,3.2,0
46,female,master's,married,9,manager,hr,82638,hybrid,4,41,92,0,15,0.34,excellent,195,3,8,8.5,1
28,other,phd,single,8,developer,it,123756,on-site,1,9,90,0,38,0.53,average,192,1,19,2.2,0
30,female,high school,married,3,analyst,hr,102968,on-site,5,24,39,0,44,0.78,good,151,0,17,6.7,1
45,male,high school,single,7,manager,it,113893,on-site,4,5,73,0,2,0.55,average,196,5,9,7.1,0
22,male,high school,single,0,developer,it,55694,remote,1,14,52,0,49,0.25,good,203,4,22,1.5,0
29,male,bachelor's,married,4,manager,it,138238,remote,4,23,4,0,40,0.66,average,298,3,29,4.3,0
45,male,bachelor's,married,8,analyst,it,94067,on-site,1,15,21,0,3,0.83,good,293,19,2,4.7,0
32,male,master's,single,2,manager,hr,34336,on-site,1,36,55,0,39,0.65,poor,184,11,45,2.2,0
38,female,bachelor's,divorced,10,developer,it,81948,remote,2,3,13,1,48,0.8,poor,189,13,37,2.9,0
29,male,bachelor's,single,12,analyst,hr,57038,on-site,3,17,39,0,14,0.45,average,281,12,16,2.6,0
56,female,master's,single,5,sales,marketing,122380,on-site,1,40,0,1,34,0.92,average,185,5,18,8.9,0
56,male,bachelor's,single,10,developer,it,141306,on-site,4,36,76,0,5,0.61,good,164,9,43,9.7,0
54,female,bachelor's,single,9,manager,it,45036,remote,2,10,26,0,1,0.71,poor,263,16,20,4.5,0
26,female,high school,single,5,analyst,sales,108887,on-site,3,12,48,0,16,0.11,average,241,15,21,4.7,0
49,male,bachelor's,married,10,sales,it,127410,remote,5,5,57,0,45,0.63,average,224,11,17,2.1,0
28,male,bachelor's,married,5,developer,hr,110561,hybrid,1,32,80,0,12,0.03,good,214,12,14,9.8,1
30,female,bachelor's,single,3,developer,it,53680,on-site,1,35,71,0,23,0.16,poor,169,6,3,1.9,0
29,female,master's,divorced,6,developer,it,39735,remote,3,20,91,0,13,0.7,good,249,19,30,2.3,0
33,female,master's,single,2,analyst,sales,111725,hybrid,2,46,25,0,7,0.68,excellent,205,19,4,6.7,0
55,male,master's,single,5,developer,it,56815,on-site,5,30,19,0,9,0.5,good,214,8,44,2.3,0
54,male,bachelor's,single,9,developer,it,112344,hybrid,3,17,82,0,27,0.66,average,152,9,25,6.7,0
44,female,master's,single,4,manager,it,138999,on-site,5,16,13,1,32,0.82,average,294,16,40,3.2,1
45,female,bachelor's,married,2,sales,it,41050,on-site,3,8,24,0,26,0.83,poor,205,17,23,7.1,0
58,male,bachelor's,single,1,analyst,it,115216,remote,2,14,35,1,1,0.89,average,186,5,9,3.2,0
56,female,bachelor's,married,11,analyst,it,41993,on-site,4,28,27,0,35,0.89,average,224,16,32,8.1,0
43,male,high school,married,14,manager,sales,105265,remote,3,3,7,0,47,0.57,average,226,1,6,4.3,0
48,male,bachelor's,married,0,developer,sales,107115,on-site,4,23,48,0,22,0.35,poor,218,12,43,6.1,0
56,male,bachelor's,married,7,analyst,hr,113120,remote,3,10,96,0,31,0.0,poor,167,1,29,9.6,1
22,male,phd,single,0,analyst,sales,70028,on-site,1,23,5,0,10,0.93,average,200,10,1,9.0,0
56,female,bachelor's,single,4,sales,sales,85292,on-site,2,43,88,0,23,0.2,average,289,10,46,8.2,0
58,male,master's,married,4,analyst,marketing,61325,remote,1,11,0,1,14,0.83,poor,260,15,27,4.6,1
35,male,bachelor's,single,0,analyst,hr,104161,on-site,5,30,93,0,24,0.25,average,242,0,23,2.7,0
24,female,high school,single,8,analyst,marketing,131099,remote,4,3,4,0,21,0.32,average,207,5,46,8.9,1
22,female,bachelor's,married,4,manager,hr,130269,hybrid,5,39,72,0,22,0.21,average,268,5,27,7.8,0
26,female,bachelor's,single,8,analyst,sales,68401,on-site,4,43,7,0,0,0.78,average,180,5,26,6.3,0
47,female,high school,married,10,analyst,hr,143787,remote,4,19,87,0,21,0.44,average,183,4,30,5.4,1
35,male,bachelor's,single,5,analyst,sales,63436,on-site,2,5,88,0,25,0.96,poor,255,9,13,5.7,1
48,female,bachelor's,divorced,6,developer,hr,122025,hybrid,5,44,40,0,19,0.81,average,217,7,29,6.3,0
30,female,bachelor's,married,6,manager,sales,37068,hybrid,1,4,71,1,9,0.57,average,219,10,31,7.2,0
36,female,master's,single,1,developer,hr,93567,on-site,1,13,84,0,12,0.78,average,241,9,48,6.7,1
36,male,bachelor's,married,13,manager,sales,100002,on-site,4,14,18,0,20,0.84,poor,198,0,33,9.5,1
47,male,high school,married,4,analyst,marketing,72078,remote,4,16,2,0,24,0.92,excellent,203,16,9,5.6,1
34,female,master's,married,1,analyst,it,84460,hybrid,4,14,38,0,15,0.08,average,230,14,46,7.3,0
53,male,bachelor's,married,3,manager,hr,34960,on-site,5,24,15,1,14,0.8,poor,257,4,45,1.9,1
53,female,master's,married,11,developer,it,75177,on-site,5,42,64,0,4,0.18,poor,244,18,34,7.4,0
25,female,master's,single,2,analyst,it,92273,on-site,3,13,73,1,23,0.92,average,189,3,38,2.2,1
51,female,phd,single,11,sales,marketing,139611,remote,1,27,69,0,26,0.19,average,246,13,36,1.3,0
58,female,bachelor's,divorced,12,developer,hr,65075,on-site,4,30,68,0,48,0.17,average,203,2,28,7.3,1
44,female,bachelor's,single,10,analyst,it,57430,remote,5,44,16,0,44,0.49,good,243,4,9,7.1,0
36,male,bachelor's,single,5,manager,sales,61536,on-site,3,26,20,0,33,0.86,poor,267,8,15,5.0,0
50,female,bachelor's,single,10,manager,hr,134708,remote,4,40,92,0,39,0.09,average,268,19,10,7.9,0
57,female,bachelor's,married,14,manager,it,58609,on-site,1,35,61,0,0,0.06,average,257,3,31,3.8,0
34,male,bachelor's,married,4,developer,it,67420,hybrid,5,15,30,0,33,0.76,average,297,0,48,4.5,0
53,male,master's,married,0,developer,hr,45419,on-site,4,49,2,0,40,0.84,average,255,12,41,3.6,0
28,male,high school,married,14,manager,it,80439,on-site,2,34,37,1,25,0.46,poor,186,4,32,1.3,1
43,female,master's,married,1,analyst,it,40033,on-site,2,12,59,0,11,0.65,excellent,243,17,41,4.1,1
49,male,master's,married,12,analyst,it,75603,on-site,1,20,91,0,8,0.13,poor,240,17,48,9.7,0
23,female,bachelor's,single,6,developer,sales,130165,remote,3,46,91,0,32,0.6,good,219,12,46,2.8,0
27,male,bachelor's,single,8,manager,it,82136,remote,3,19,64,0,39,0.01,average,228,18,49,5.5,0
49,male,bachelor's,married,0,sales,sales,100665,remote,2,48,75,0,26,0.3,average,290,3,41,7.2,0
49,female,phd,single,3,developer,sales,63571,hybrid,1,7,15,0,6,0.02,average,195,10,10,1.1,0
41,male,high school,married,13,sales,it,89203,on-site,2,19,88,0,22,0.27,good,195,2,35,2.7,0
51,female,bachelor's,married,14,analyst,sales,50582,hybrid,4,31,81,0,27,0.02,average,247,10,49,4.9,0
32,female,bachelor's,married,14,developer,hr,82109,on-site,5,5,7,0,41,0.94,good,267,13,0,3.8,0
49,female,master's,single,10,developer,sales,69755,remote,3,13,69,0,32,0.88,good,207,14,8,4.2,0
46,male,master's,single,2,developer,marketing,59806,on-site,5,33,50,0,14,0.21,average,264,19,0,2.7,1
54,female,bachelor's,married,11,manager,it,53312,on-site,1,35,49,0,34,0.92,average,273,10,35,8.7,1
22,female,high school,single,11,sales,sales,128804,on-site,1,11,72,0,49,0.9,good,170,8,26,4.8,0
48,female,bachelor's,married,10,sales,it,129532,remote,2,33,17,0,24,0.22,poor,278,18,8,5.7,0
34,male,high school,married,12,manager,it,144784,remote,1,15,93,0,20,0.67,average,229,4,25,7.1,1
24,female,master's,divorced,4,developer,it,75877,on-site,5,43,83,0,4,0.19,average,172,8,27,9.5,0
27,female,master's,married,4,analyst,sales,52924,remote,3,34,81,0,48,0.68,average,188,1,37,7.3,1
29,female,master's,married,12,developer,it,111791,remote,2,42,28,0,32,0.06,good,198,2,8,9.2,1
48,male,bachelor's,married,11,developer,hr,38111,on-site,1,12,74,0,23,0.86,average,280,7,13,8.2,0
30,male,bachelor's,single,9,analyst,sales,99420,remote,4,26,81,0,30,0.83,good,289,12,44,7.3,1
58,male,high school,single,9,manager,sales,144312,on-site,1,40,32,0,17,0.17,good,222,5,28,6.7,0
54,male,bachelor's,married,10,analyst,sales,50022,remote,3,29,2,0,30,0.44,average,169,16,4,6.9,0
45,male,high school,married,1,manager,it,149345,on-site,2,32,91,0,2,0.25,good,245,13,4,8.9,0
36,male,master's,married,4,manager,hr,48927,on-site,3,35,4,0,33,0.12,average,191,3,25,6.5,0
53,female,high school,single,3,developer,marketing,70467,remote,5,31,79,0,23,0.01,poor,181,2,12,8.7,1
53,male,master's,married,12,developer,it,121499,on-site,5,13,58,0,43,0.3,average,267,1,47,9.4,0
45,female,bachelor's,single,0,analyst,sales,58583,on-site,1,47,3,0,40,0.94,average,200,4,30,6.1,0
33,male,bachelor's,married,11,developer,it,138800,remote,4,39,17,0,40,0.89,average,182,13,33,3.0,0
23,male,high school,married,0,manager,sales,58876,remote,4,44,26,0,29,0.43,poor,157,8,33,6.6,0
24,male,bachelor's,single,0,analyst,sales,106274,remote,2,19,17,1,10,0.29,good,267,19,18,9.7,1
58,male,bachelor's,single,7,developer,marketing,103919,remote,1,26,65,0,30,0.31,poor,217,0,22,2.0,1
38,female,master's,single,14,analyst,hr,72786,on-site,3,32,5,1,25,0.71,average,195,19,39,8.9,0
23,female,high school,married,2,analyst,sales,43435,on-site,1,31,98,0,25,0.27,average,204,16,22,8.8,1
23,male,master's,married,8,manager,it,45485,remote,4,41,82,1,37,0.83,good,168,13,1,1.8,0
49,male,master's,married,14,developer,hr,77296,remote,3,28,92,0,40,0.36,average,239,0,35,3.7,0
44,male,high school,married,9,developer,hr,85533,on-site,3,35,10,0,36,0.07,poor,285,12,43,8.7,0
58,female,master's,married,1,analyst,hr,43559,remote,4,6,37,0,25,0.12,poor,271,14,2,6.5,0
53,female,bachelor's,married,8,manager,hr,109668,on-site,2,21,64,0,19,0.77,average,274,16,40,4.1,0
54,female,master's,married,10,developer,marketing,79376,on-site,1,24,58,0,20,0.77,poor,207,13,18,8.2,0
22,female,high school,single,8,manager,it,37356,on-site,4,10,53,1,12,0.4,average,186,14,29,1.0,1
40,female,high school,married,14,analyst,it,63540,remote,1,2,20,0,45,1.0,poor,233,7,40,2.7,1
23,male,bachelor's,married,3,analyst,marketing,104973,on-site,1,4,98,1,47,0.22,poor,289,7,39,5.6,0
47,male,bachelor's,single,3,sales,hr,131316,remote,2,43,7,0,17,0.2,poor,247,14,38,5.5,0
53,female,master's,married,3,developer,hr,81818,hybrid,3,42,66,0,39,0.53,good,243,15,8,9.8,1
27,female,master's,married,11,developer,it,64392,hybrid,4,32,14,0,25,0.56,average,207,8,39,3.6,0
53,female,master's,single,0,developer,it,103659,on-site,3,43,80,0,1,0.42,average,237,2,31,1.6,0
25,female,high school,single,4,developer,it,78217,hybrid,5,8,91,0,16,0.58,poor,171,0,42,4.0,0
32,male,high school,married,12,manager,it,131778,on-site,4,47,60,0,42,0.89,average,215,4,39,2.4,0
38,female,bachelor's,married,5,developer,sales,99688,remote,1,10,99,0,25,0.47,average,262,4,17,7.7,0
59,female,bachelor's,married,3,analyst,sales,128823,hybrid,4,2,50,1,37,1.0,average,201,16,37,4.2,1
45,male,bachelor's,married,7,developer,sales,82681,remote,3,7,40,0,30,0.95,poor,208,19,23,7.9,0
26,female,bachelor's,single,14,manager,it,30872,on-site,5,49,77,0,20,0.71,average,227,2,17,4.3,0
55,female,high school,single,14,manager,it,44730,on-site,2,35,16,0,40,0.7,average,257,1,42,4.2,0
27,male,bachelor's,single,13,developer,hr,96493,remote,4,8,38,0,32,0.73,average,256,6,3,1.4,0
43,male,bachelor's,married,13,analyst,it,140749,hybrid,2,35,19,0,42,0.86,good,262,2,46,3.6,0
32,male,bachelor's,divorced,2,analyst,sales,93614,remote,5,32,38,0,11,0.83,average,198,19,5,1.2,0
37,female,master's,single,10,analyst,hr,123700,on-site,3,22,69,0,5,0.72,average,215,15,35,3.2,0
54,male,high school,married,8,developer,marketing,114951,on-site,5,2,69,0,22,0.82,good,153,8,49,2.8,1
30,female,master's,married,12,manager,it,136732,on-site,4,42,76,0,14,0.43,poor,157,8,25,2.8,0
27,female,bachelor's,single,6,analyst,it,50812,on-site,1,41,34,0,24,0.5,good,214,6,8,9.5,1
37,male,master's,married,7,developer,it,70759,on-site,3,49,98,0,37,0.89,average,286,4,37,1.1,0
50,female,bachelor's,married,6,analyst,it,45395,remote,4,15,26,0,30,0.09,good,258,13,0,2.1,0
24,other,bachelor's,single,8,developer,sales,133024,remote,3,45,31,0,49,0.78,average,176,16,22,9.6,1
41,male,bachelor's,married,1,manager,marketing,49610,on-site,3,7,97,0,6,0.67,excellent,177,2,8,1.7,0
57,male,master's,single,14,developer,it,129871,remote,4,42,2,0,28,0.15,average,150,4,27,3.5,0
40,female,bachelor's,single,14,developer,it,30909,remote,1,0,31,0,31,0.42,poor,155,2,13,9.0,0
47,female,bachelor's,single,3,analyst,it,113880,on-site,1,42,70,0,26,0.73,good,164,17,21,6.8,0
24,male,master's,married,1,sales,hr,118181,remote,4,23,33,0,7,0.72,poor,159,16,4,7.9,0
40,male,bachelor's,married,7,developer,hr,92785,remote,3,28,20,0,4,0.69,excellent,195,11,14,4.7,0
41,male,bachelor's,married,1,sales,sales,57914,on-site,3,12,28,0,7,0.16,poor,270,9,14,6.4,0
53,other,bachelor's,married,7,analyst,sales,47769,on-site,4,44,3,0,31,0.78,good,214,2,34,6.3,0
28,male,bachelor's,married,5,analyst,hr,110356,on-site,4,1,67,0,5,0.13,poor,269,2,30,5.9,0
54,female,bachelor's,married,6,developer,hr,47199,on-site,5,32,0,0,27,0.98,average,297,3,24,4.2,0
39,female,bachelor's,married,10,manager,sales,84501,hybrid,1,13,30,1,18,0.16,poor,252,10,9,2.2,1
22,male,phd,married,14,sales,it,76476,on-site,3,9,44,0,31,0.59,average,191,18,37,7.7,0
32,female,master's,single,12,developer,it,33784,remote,3,3,80,0,42,0.78,average,159,2,34,3.3,0
49,male,high school,married,5,developer,it,110282,hybrid,3,46,70,0,43,0.01,poor,172,18,34,8.5,0
46,female,bachelor's,married,13,sales,it,46705,remote,3,15,51,0,16,0.72,poor,237,2,5,3.5,0
44,male,phd,married,11,sales,it,67166,on-site,4,32,43,0,23,0.22,good,169,4,45,1.7,0
52,female,master's,single,8,manager,it,54026,remote,1,46,49,0,10,0.18,average,187,7,46,4.0,0
51,female,master's,married,3,developer,it,129147,remote,5,12,35,0,11,0.07,average,278,1,16,6.3,0
56,male,bachelor's,married,0,developer,sales,48955,on-site,4,4,20,0,24,0.19,poor,296,8,7,8.6,0
28,male,master's,single,8,analyst,hr,102130,remote,3,7,22,0,38,0.61,average,273,7,36,4.5,0
37,male,master's,single,12,sales,it,77641,remote,1,42,76,0,7,1.0,average,250,7,30,2.0,1
47,male,bachelor's,single,9,developer,sales,95230,on-site,1,46,33,0,26,0.57,average,191,10,6,1.6,0
23,female,bachelor's,married,7,developer,sales,38602,remote,2,7,99,0,7,0.6,excellent,194,5,33,5.2,0
22,female,bachelor's,married,0,analyst,it,74530,on-site,4,30,68,0,25,0.39,average,194,11,16,7.5,1
33,male,bachelor's,single,12,developer,marketing,126364,on-site,1,20,99,0,35,0.04,average,294,19,36,5.8,0
26,female,master's,married,9,developer,it,70098,on-site,4,9,30,0,20,0.73,good,262,4,5,1.8,0
58,female,master's,single,5,analyst,sales,59822,remote,1,20,11,0,17,0.08,excellent,182,12,12,2.8,0
53,female,master's,married,13,analyst,marketing,135205,on-site,1,44,27,0,16,0.72,good,179,18,13,1.0,0
30,male,master's,married,9,analyst,sales,39015,on-site,5,10,47,0,23,0.83,average,291,16,21,8.5,0
56,male,bachelor's,married,11,developer,sales,95279,on-site,2,23,27,0,47,0.22,average,189,4,25,1.8,0
40,male,bachelor's,single,11,developer,marketing,65268,remote,4,27,6,0,22,0.78,good,232,0,7,6.3,1
37,female,master's,married,14,manager,it,110042,on-site,3,30,33,0,14,0.91,excellent,203,4,36,4.4,1
24,male,bachelor's,married,3,developer,it,45568,remote,5,11,85,0,39,0.56,poor,298,17,45,3.3,0
41,male,bachelor's,married,14,manager,sales,81961,remote,3,44,50,0,12,0.43,good,202,12,11,8.8,1
45,male,bachelor's,married,14,developer,sales,106114,on-site,5,23,87,0,24,0.55,good,225,6,10,6.4,0
54,female,high school,married,10,developer,sales,81027,on-site,1,44,77,0,39,0.81,average,225,5,49,4.4,0
45,male,bachelor's,single,1,developer,marketing,66922,on-site,2,27,79,0,4,0.62,good,285,14,8,4.0,0
32,male,bachelor's,married,2,developer,it,101638,on-site,4,17,10,0,38,0.56,good,293,3,32,4.0,0
29,male,bachelor's,married,11,analyst,sales,141098,hybrid,1,32,93,0,4,0.41,average,197,18,18,5.7,0
57,male,phd,married,12,manager,marketing,115259,on-site,3,14,37,0,13,0.03,average,176,1,9,7.9,0
59,female,master's,married,11,developer,hr,122639,remote,2,27,41,0,0,0.15,poor,205,13,37,6.5,1
41,male,master's,divorced,8,developer,marketing,104396,remote,3,27,6,1,34,0.51,average,193,9,2,9.2,0
56,male,bachelor's,married,4,analyst,it,41780,on-site,4,39,45,0,16,0.65,good,168,10,33,4.3,0
46,female,master's,single,6,analyst,marketing,61664,remote,3,40,44,0,43,0.18,poor,259,11,45,7.7,0
56,male,master's,married,14,manager,marketing,147759,remote,2,11,2,0,24,0.68,good,228,18,31,3.0,1
46,male,bachelor's,single,12,analyst,it,102127,on-site,4,22,78,0,19,0.52,average,182,8,45,9.5,0
50,female,phd,married,14,analyst,hr,114850,on-site,1,29,56,0,44,0.67,good,176,16,43,1.6,0
39,male,high school,married,1,analyst,hr,133978,on-site,1,23,29,0,32,0.53,average,228,14,30,3.3,0
39,male,master's,single,7,developer,it,56177,remote,2,8,96,0,16,0.43,average,174,6,45,9.3,0
23,male,bachelor's,married,2,analyst,it,84405,on-site,2,41,51,0,31,0.31,average,245,9,42,9.3,0
56,male,bachelor's,married,0,sales,it,136708,on-site,2,12,80,0,26,0.17,average,223,19,24,1.5,0
37,female,high school,married,12,analyst,hr,81298,remote,3,41,53,0,30,0.09,average,228,17,30,7.8,0
57,female,bachelor's,single,7,analyst,hr,115262,on-site,1,19,47,0,16,0.86,poor,207,7,26,6.4,1
54,female,bachelor's,married,10,manager,marketing,135105,on-site,1,18,83,0,22,0.54,good,247,16,32,2.9,1
25,male,phd,divorced,10,developer,it,88416,on-site,1,3,32,0,8,0.99,average,295,15,14,4.4,0
54,male,phd,single,8,developer,sales,130526,on-site,4,25,90,0,4,0.84,average,279,17,35,9.1,0
35,female,phd,married,7,developer,it,133937,on-site,5,17,19,0,37,0.12,average,251,8,41,8.8,0
42,female,bachelor's,single,0,developer,sales,84148,on-site,2,32,97,0,32,0.87,average,289,5,38,3.1,1
41,male,phd,single,11,developer,marketing,59476,on-site,4,19,94,0,41,0.78,excellent,150,4,20,3.7,0
29,male,bachelor's,married,6,developer,it,102168,on-site,5,42,4,0,2,0.99,average,217,7,33,2.9,1
28,male,master's,single,6,manager,it,87074,on-site,2,20,81,0,26,0.89,good,260,13,18,4.6,0
24,male,bachelor's,divorced,3,analyst,sales,65369,on-site,5,39,82,0,45,0.36,poor,210,6,7,9.6,0
38,male,bachelor's,married,12,analyst,it,139874,on-site,1,22,16,0,21,0.64,average,271,10,17,6.9,0
54,male,phd,married,12,developer,hr,49922,remote,5,10,86,0,43,0.64,poor,179,2,11,2.6,0
33,female,master's,single,12,analyst,it,87871,on-site,2,5,1,0,20,0.94,average,299,14,21,9.6,0
